"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",11.4733955655511,0.453526020164794,126.834933731996,0.567956889212883,0.181180873427382,9.06029157903685
"Euc. Summary",41.3731504476401,0.357737313892138,212.828748751021,0.700031754081811,0.320414378494936,12.8676471697411
"Euc. Summary",95.6875767824166,0.626777988234615,235.671093979663,0.741610351207523,0.426535758638593,6.85527948150938
"Euc. Summary",1.58429811983679,0.289669038028211,86.4316458954637,0.567144720040287,0.101776383924695,11.9409077385262
"Euc. Summary",144.559593178418,0.403764345736657,236.950851020126,0.721041666778868,0.437991474563578,8.80056394051534
"Euc. Summary",18.2507466375098,0.345783669553966,108.709184284904,0.565245816350631,0.189266697299776,18.6215594059367
"Euc. Summary",18.2507466375098,0.345783669553966,108.709184284904,0.565245816350631,0.189266697299776,18.6215594059367
"Euc. Summary",149.23498221538,0.63277674828643,268.225486246921,0.691002123103405,0.446595031267463,4.80159100802128
"Euc. Summary",144.559593178418,0.403764345736657,236.950851020126,0.721041666778868,0.437991474563578,8.80056394051534
"Euc. Summary",8.10106774564003,0.315905655054397,205.720947784803,0.582136186741364,0.189586616512404,5.76164271019065
"Euc. Summary",8.10106774564003,0.315905655054397,205.720947784803,0.582136186741364,0.189586616512404,5.76164271019065
"Euc. Summary",13.0449556478057,0.407679518629778,104.875999604007,0.636085212531038,0.179460963578454,6.40424340832674
